CumOil12Month,rowID,Operator,CompletionDate,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM
325341.6875,1,OVV,9/30/2017,WOLFCAMP B,9925.0000,2061.0000,49.0000,275.0890,275.0890,9.2580,258.2630,6818.8630,439.8380,22821.2075,0.0560,4150.9728,0.4260,0.0110,3.1119,0.1690,0.2570,0.9430,5.5592
211278.4063,2,OVV,10/7/2017,SPRABERRY LOWER SHALE,9478.0000,2042.0000,48.0000,300.3460,300.3460,3.1200,231.5850,6149.5700,,30333.5230,0.0550,2927.7631,0.3190,0.0050,2.8506,0.2270,0.1440,0.9410,5.2283
201117.6094,3,OVV,10/7/2017,SPRABERRY LOWER SHALE,9295.0000,2145.0000,,299.1400,299.1400,228.4660,228.4660,5917.9840,,16238.1090,0.0470,2230.7591,0.4450,0.0060,1.9771,0.1730,0.1770,0.9440,5.2176
297255.6250,4,OVV,8/11/2017,WOLFCAMP A,9894.0000,1995.0000,,274.8860,274.8860,249.0050,249.0050,6560.6000,,24069.5400,0.0480,3267.3561,0.3110,0.0030,2.5054,0.1660,0.3380,0.9410,5.3567
240883.1875,5,OVV,8/16/2017,WOLFCAMP B,10403.0000,2007.0000,49.0000,291.2230,291.2230,219.8280,219.8280,6809.6050,442.1470,24158.2750,0.0570,4188.9816,0.3860,0.0090,3.0660,0.1620,0.2800,0.9410,5.6994
151234.7656,6,OVV,8/1/2017,SPRABERRY LOWER SHALE,10404.0000,2013.0000,48.0000,302.3870,302.3870,221.2860,221.2860,6146.4500,,29350.5660,0.0520,3002.7919,0.3000,0.0050,2.8085,0.2250,0.1480,0.9410,5.6067
155705.3281,7,OVV,10/9/2017,SPRABERRY LOWER SHALE,10424.0000,2068.0000,48.0000,302.5340,302.5340,221.2860,221.2860,5925.1640,,17631.4250,0.0490,2220.2810,0.5570,0.0050,1.9898,0.2330,0.1170,0.9410,5.6465
244439.7188,8,OVV,8/5/2017,WOLFCAMP A,10421.0000,2099.0000,51.0000,261.1640,261.1640,219.8280,219.8280,6589.7780,,22530.2110,0.0440,3498.5851,0.2910,0.0040,2.2353,0.1430,0.4070,0.9410,5.8219
397864.9688,9,OVV,7/20/2017,WOLFCAMP B,10405.0000,2075.0000,50.0000,261.7330,261.7330,225.4360,225.4360,6815.2140,446.4230,24021.1120,0.0570,4173.1616,0.3980,0.0090,3.1458,0.1640,0.2680,0.9410,5.8028
109156.7109,10,OVV,2/8/2017,WOLFCAMP A,7616.0000,2026.0000,51.0000,16.3060,16.3060,5.3790,255.3940,6512.1920,,15224.4850,0.0340,3250.0829,0.4810,0.0190,2.2445,0.1710,0.3210,0.9710,4.4826
110990.3828,11,OVV,2/8/2017,WOLFCAMP B,7664.0000,1962.0000,51.0000,454.4210,454.4210,12.2940,12.2940,6925.2040,239.3910,8271.2950,0.0370,4098.5711,0.5070,0.0220,2.1691,0.1330,0.3710,0.9710,4.5032
477447.5938,12,OVV,2/8/2017,WOLFCAMP A,7732.0000,1970.0000,50.0000,,,,,6460.0137,,12304.3800,0.0470,3466.3091,0.5930,0.0190,2.2607,0.2000,0.2090,0.9710,4.4975
116930.8984,13,OVV,2/16/2017,SPRABERRY LOWER SHALE,7703.0000,,,13.7510,13.7510,269.1080,269.1080,6222.6660,,28108.3950,0.0550,2927.3818,0.4080,0.0220,2.6771,0.2310,0.1550,0.9720,4.5631
76212.5469,14,OVV,2/16/2017,WOLFCAMP B,7425.0000,1618.0000,52.0000,223.9020,223.9020,184.0760,184.0760,6914.4740,244.9400,8319.7010,0.0400,4064.3748,0.5190,0.0220,2.1888,0.1360,0.3630,0.9720,4.1134
29439.9160,15,OVV,2/16/2017,WOLFCAMP C,7607.0000,1532.0000,52.0000,224.8720,224.8720,184.0760,184.0760,7098.5510,,5592.5340,0.0550,4511.2833,0.7120,,2.1080,0.2240,0.1970,0.9710,4.0765
271021.7813,16,OVV,2/10/2017,SPRABERRY LOWER SHALE,7126.0000,1593.0000,52.0000,217.2060,217.2060,149.8200,149.8200,6072.8460,,26598.3540,0.0540,2875.9179,0.4170,0.0220,2.4900,0.2420,0.1310,0.9710,3.8516
136142.8906,17,OVV,2/10/2017,SPRABERRY LOWER SHALE,7519.0000,1517.0000,48.0000,12.5740,12.5740,63.5190,213.3390,6286.1850,,18391.4350,0.0550,3241.8699,0.5890,0.0220,2.3287,0.2360,0.1330,0.9710,3.9323
61698.3828,18,OVV,2/10/2017,WOLFCAMP A,7657.0000,1494.0000,48.0000,12.7070,12.7070,5.3790,5.3790,6506.8130,,15587.2840,0.0340,3200.6922,0.4640,0.0190,2.2595,0.1730,0.3160,0.9710,3.9980
75152.4063,19,OVV,2/10/2017,WOLFCAMP B,7645.0000,1508.0000,49.0000,226.7520,226.7520,1.5640,12.2940,6912.9100,244.9400,8507.9690,0.0400,4075.7471,0.5090,0.0220,2.2179,0.1350,0.3630,0.9710,4.0657
86163.4453,20,COP,12/19/2015,WOLFCAMP B,5051.0000,1475.0000,48.0000,829.7110,10.7540,385.8120,33.2650,6942.9870,243.2900,7828.7940,0.0310,3760.1642,0.5340,0.0160,2.2081,0.1380,0.3660,0.9670,3.3347
70092.7734,21,COP,12/19/2015,WOLFCAMP A,4796.0000,1544.0000,51.0000,841.0730,412.2680,293.3500,352.5480,6557.1740,,14639.9090,0.0300,3329.5085,0.3940,0.0130,1.9440,0.1430,0.4160,0.9670,3.2400
92708.4141,22,COP,12/18/2015,DEAN,4998.0000,1487.0000,48.0000,9.7750,9.7750,262.8480,262.8480,6294.3260,,14962.5770,0.0570,3284.2381,0.6620,,2.2875,0.2360,0.1240,0.9670,3.2310
89813.7578,23,OXY,8/6/2015,WOLFCAMP A,7578.0000,,,,,,,5384.3390,,10693.6060,0.0560,2979.3055,0.6520,0.0230,2.4147,0.2180,0.1120,0.7600,4.6568
14081.1104,24,FANG,7/12/2007,SPRABERRY LOWER,1961.0000,215.0000,,2000.0000,2000.0000,500.0000,500.0000,4998.7720,,8210.5410,0.0720,2373.9962,0.7990,,2.4971,0.1950,0.0990,0.7940,1.2697
185426.0000,25,FANG,8/26/2017,SPRABERRY MIDDLE,8822.0000,1793.0000,47.0000,2000.0000,2000.0000,500.0000,500.0000,4366.1840,,5127.9840,0.0530,1671.8132,0.7940,,2.7465,0.2040,0.1140,0.8140,5.0080
199137.9844,26,OXY,6/29/2015,WOLFCAMP A,9375.0000,1339.0000,35.0000,1304.9610,1244.7580,61.4310,87.1970,5596.3970,,18088.9210,0.0600,2844.6918,0.3090,0.0170,2.9766,0.2160,0.1730,0.7750,5.4098
351472.0625,27,OXY,9/26/2015,WOLFCAMP A,9378.0000,1339.0000,37.0000,1480.0010,1393.7200,58.9360,30.6740,5509.2000,,16149.8130,0.0620,2638.6813,0.3920,0.0170,2.9699,0.2270,0.1100,0.7750,5.4184
106633.0000,28,OXY,7/13/2015,WOLFCAMP A,9333.0000,1358.0000,38.0000,2000.0000,2000.0000,500.0000,500.0000,5162.9200,,16629.1540,0.0430,2922.9451,0.3580,0.0240,2.4797,0.1740,0.2440,0.7170,5.3722
78002.0078,29,SABLE,5/21/2013,WOLFCAMP B,6662.0000,753.0000,22.0000,1212.0020,1007.4990,500.0000,274.4760,4429.1860,547.6300,12564.2090,0.0700,2294.8654,0.7250,0.0110,2.8583,0.2090,0.2370,0.9110,3.4893
59416.5273,30,APA,11/8/2018,WOLFCAMP A,7739.0000,1669.0000,46.0000,456.5770,456.5770,500.0000,274.3600,5364.7450,,31416.0600,0.0610,2985.6283,0.3720,0.0160,2.7597,0.2090,0.2930,0.9300,4.1526
167176.4688,31,APA,11/3/2018,WOLFCAMP B,7645.0000,1656.0000,47.0000,450.1820,728.5580,500.0000,274.3600,5639.1050,490.2250,23700.9550,0.0710,3560.1202,0.5880,0.0150,2.9132,0.1930,0.2530,0.9290,4.1554
117015.4453,32,PXD,4/18/2015,WOLFCAMP B,9746.0000,998.0000,18.0000,710.2930,768.9300,500.0000,49.3490,5911.6410,476.4710,20905.8090,0.0670,3423.4877,0.5840,0.0120,2.9594,0.1950,0.2640,0.9380,4.6608
78139.5078,33,PXD,10/15/2015,WOLFCAMP B,9422.0000,1354.0000,42.0000,384.5230,769.2110,293.7090,356.5970,6317.5870,476.4810,9559.6780,0.0600,4417.7148,0.7910,0.0120,3.2004,0.1990,0.2930,0.9380,5.6164
70433.8125,34,PXD,4/19/2015,WOLFCAMP B,9746.0000,972.0000,17.0000,744.4430,564.1860,38.7450,28.1410,5960.9900,476.4810,12983.6340,0.0660,3608.1841,0.7340,0.0120,2.7780,0.1860,0.2890,0.9380,4.6235
102265.4609,35,PXD,10/27/2015,WOLFCAMP B,9786.0000,1490.0000,40.0000,718.4350,731.4860,14.2670,0.3940,5932.8490,476.4810,14483.2660,0.0610,3528.5758,0.6840,0.0150,2.8223,0.1820,0.2910,0.9380,5.8921
193705.1875,36,PXD,10/28/2015,WOLFCAMP B,9722.0000,1501.0000,41.0000,844.9300,781.4570,500.0000,239.2980,5932.4550,478.1690,13337.5980,0.0600,3508.1920,0.7030,0.0150,2.7298,0.1830,0.2930,0.9380,5.8996
233913.3594,37,PXD,8/1/2017,WOLFCAMP B,9758.0000,1827.0000,55.0000,889.1970,889.1970,9.1040,9.1040,6066.7180,487.0380,16794.3790,0.0620,3828.7826,0.6660,0.0080,2.6125,0.1970,0.2890,0.9320,6.7361
161121.4063,38,PXD,7/29/2017,WOLFCAMP B,9908.0000,1813.0000,55.0000,772.9410,772.9410,9.1040,9.1040,6075.8220,487.0380,17321.6430,0.0590,4068.3242,0.6300,0.0100,2.6731,0.1930,0.2900,0.9320,6.7995
170829.9063,39,PXD,8/7/2017,WOLFCAMP B,9834.0000,1829.0000,56.0000,773.0040,773.0040,9.1080,9.1080,6066.7150,487.9780,17940.0990,0.0580,4034.5980,0.6110,0.0100,2.5676,0.1890,0.3020,0.9320,6.7892
178910.0625,40,PXD,8/18/2017,WOLFCAMP B,9907.0000,1739.0000,52.0000,727.7260,727.7260,26.7000,26.7000,6012.7700,487.9780,12679.9550,0.0620,3578.4416,0.7440,0.0110,2.4714,0.1930,0.2950,0.9320,6.6263
159369.7656,41,PXD,8/29/2017,WOLFCAMP B,8072.0000,1708.0000,59.0000,727.8340,727.8340,26.7000,26.7000,6039.4690,487.9780,17465.9760,0.0590,3992.3159,0.6310,0.0110,2.5698,0.1900,0.2950,0.9320,5.6421
129814.3750,42,ENDVR,2/19/2018,WOLFCAMP B,9780.0000,1616.0000,44.0000,177.6150,177.6150,336.5920,336.5920,6031.2770,470.9340,18149.3340,0.0630,3363.7761,0.6360,0.0180,2.8409,0.1760,0.2910,0.9400,5.5998
90905.6250,43,ENDVR,2/19/2018,WOLFCAMP B,9586.0000,1596.0000,43.0000,176.8650,176.8650,56.4970,56.4970,6367.8690,470.9340,16568.5010,0.0670,3927.0406,0.6730,0.0180,4.9137,0.2060,0.2480,0.9400,5.5327
317803.9375,44,SURGE,10/14/2016,WOLFCAMP A,10022.0000,1886.0000,36.0000,2000.0000,230.2600,25.3840,500.0000,5406.9840,,23225.0760,0.0630,2581.3273,0.2960,0.0160,2.9259,0.2290,0.1170,0.8300,5.3059
204243.7969,45,SURGE,11/4/2016,WOLFCAMP A,10022.0000,1880.0000,36.0000,2000.0000,1191.9560,197.1890,500.0000,5392.4920,,21620.4190,0.0510,2843.6976,0.2040,0.0150,2.4772,0.2050,0.2180,0.8290,5.2935
190330.0000,46,SURGE,4/7/2017,SPRABERRY LOWER SHALE,9936.0000,2113.0000,44.0000,2000.0000,1009.8490,4.7930,500.0000,4953.7760,,22750.3800,0.0570,2442.9562,0.4520,0.0140,2.1550,0.2390,0.1120,0.8290,5.6123
103800.6719,47,COP,8/21/2014,WOLFCAMP A,5041.0000,2494.0000,56.0000,2000.0000,2000.0000,500.0000,500.0000,6225.9600,,30637.0680,0.0510,4006.0868,0.2670,0.0220,2.2119,0.1660,0.3630,0.9050,3.9060
46459.1328,48,COP,7/21/2012,WOLFCAMP B,2103.0000,,38.0000,2000.0000,2000.0000,500.0000,500.0000,6462.1730,440.8990,14816.0760,0.0430,4252.8181,0.6330,0.0230,2.1654,0.1350,0.4000,0.9070,2.0376
73832.0000,49,COP,5/25/2015,WOLFCAMP C,5010.0000,1677.0000,38.0000,2000.0000,2000.0000,500.0000,500.0000,6761.5960,,13119.6245,0.0480,4206.5382,0.6800,,2.2164,0.1660,0.3320,0.9080,3.3172
68317.2344,50,COP,7/22/2015,WOLFCAMP B,5030.0000,2228.0000,60.0000,651.1880,861.9900,18.7820,6.3010,6479.9290,426.4570,14860.1390,0.0400,4315.5995,0.5570,0.0200,2.1115,0.1370,0.3970,0.9100,3.8076
72743.0000,51,COP,11/16/2014,WOLFCAMP B,5058.0000,1720.0000,41.0000,2000.0000,1032.1130,48.8180,500.0000,6535.0480,423.5070,10729.6580,0.0370,3936.2258,0.6510,0.0170,1.8418,0.1270,0.4470,0.9090,3.3572
90315.0000,52,COP,7/22/2015,WOLFCAMP B,5000.0000,2241.0000,62.0000,1030.0320,840.4390,27.5600,48.8180,6486.2300,423.5070,15846.2710,0.0440,4061.7768,0.5380,0.0200,2.0811,0.1370,0.4040,0.9090,3.8193
62189.7188,53,COP,3/23/2015,WOLFCAMP B,5033.0000,1640.0000,43.0000,2000.0000,2000.0000,500.0000,500.0000,6593.1310,409.3660,9543.0950,0.0350,4372.0217,0.5260,0.0230,1.5277,0.1290,0.4440,0.9000,3.3263
295566.1563,54,COP,7/12/2019,WOLFCAMP B,10373.0000,1860.0000,40.0000,651.6990,651.6990,0.2320,0.2320,6692.8030,428.3860,19848.3090,0.0540,4406.9778,0.4860,0.0040,3.0816,0.1760,0.2640,0.9110,5.8434
84097.0000,55,OXY,1/1/2017,WOLFCAMP A,9152.0000,1961.0000,64.0000,2000.0000,862.7900,286.8750,500.0000,5733.3960,,30646.0910,0.0570,3761.1205,0.3230,0.0120,2.4510,0.1880,0.3470,0.9390,6.6481
166260.0000,56,OXY,1/3/2017,WOLFCAMP B,9301.0000,1752.0000,68.0000,2000.0000,840.4880,242.0160,500.0000,6262.2870,479.0090,14394.9140,0.0630,3780.2906,0.7280,0.0130,4.7306,0.1970,0.2680,0.9390,6.6307
145873.0000,57,OXY,9/9/2017,WOLFCAMP A,9551.0000,1644.0000,56.0000,888.6060,516.5830,81.8450,85.3100,5655.0160,,33589.2070,0.0610,3516.1831,0.3090,0.0120,2.5437,0.1920,0.3100,0.9390,6.2854
107950.0000,58,OXY,9/7/2017,WOLFCAMP B,10021.0000,1168.0000,51.0000,144.5190,492.5970,326.0650,365.2540,6020.2700,476.8040,24373.0670,0.0740,3122.0535,0.6060,0.0130,2.7228,0.1870,0.2570,0.9390,5.8142
182509.0156,59,OXY,9/8/2017,WOLFCAMP A,9955.0000,1667.0000,57.0000,728.1770,728.1770,85.3100,85.3100,5740.3260,,26084.7130,0.0530,3806.4546,0.3740,0.0140,2.3576,0.1850,0.3640,0.9380,6.5503
117376.0000,60,OXY,9/8/2017,WOLFCAMP B,9780.0000,1780.0000,52.0000,,,,,6061.6011,476.8040,16047.1040,0.0740,3468.5711,0.7220,0.0130,2.4825,0.2280,0.1890,0.9380,6.6115
104092.5547,61,ENDVR,4/30/2018,WOLFCAMP B,10216.0000,1598.0000,39.0000,223.5220,223.5220,500.0000,209.0060,6557.4390,287.6480,6681.6430,0.0670,3883.7905,0.7570,0.0150,3.1208,0.1930,0.1720,0.8150,5.7745
183989.4375,62,ENDVR,4/27/2018,WOLFCAMP A,10195.0000,1594.0000,,223.6930,223.6930,209.0060,209.0060,6348.4330,,14686.6990,0.0540,3633.6940,0.4890,0.0140,2.4326,0.1980,0.2820,0.8150,5.8077
136757.1250,63,GUIDON,12/19/2018,SPRABERRY LOWER SHALE,8211.0000,2516.0000,61.0000,332.2610,303.8480,214.8850,218.5460,6534.1410,,22629.6960,0.0590,3269.2292,0.5070,0.0130,2.7398,0.2210,0.1470,0.8950,7.2615
102194.4844,64,FANG,11/1/2014,WOLFCAMP A,7727.0000,,,834.7600,451.8630,24.4770,28.1030,4716.3360,,25340.3380,0.0630,2960.5111,0.2840,0.0240,2.7573,0.2100,0.2540,0.8160,3.7450
22599.5176,65,FANG,11/22/2014,WOLFCAMP B,4524.0000,142.0000,6.0000,69.0070,69.0070,295.5070,90.0440,5011.8430,431.6940,14161.8308,0.0600,2347.4895,0.6390,0.0220,2.3694,0.2150,0.1890,0.8200,1.7327
87617.0000,66,FANG,2/18/2016,WOLFCAMP A,7673.0000,1643.0000,42.0000,840.1290,838.0830,26.3320,24.5600,4744.4390,,18968.4310,0.0530,2881.1562,0.3440,0.0240,2.5681,0.2050,0.2790,0.8140,4.2946
109771.0000,67,FANG,2/29/2016,WOLFCAMP A,7724.0000,1673.0000,43.0000,842.0760,842.0760,5.6140,5.6140,4719.8790,,20173.5790,0.0540,3002.3947,0.3340,0.0240,2.5774,0.2060,0.2700,0.8120,4.3610
111107.0000,68,FANG,1/6/2016,WOLFCAMP A,7563.0000,1619.0000,42.0000,899.7940,899.7940,5.6140,5.6140,4714.2650,,17528.4990,0.0500,2801.1505,0.3630,0.0240,2.4905,0.2030,0.2830,0.8090,4.2200
107213.0000,69,FANG,12/31/2015,WOLFCAMP A,7239.0000,,,603.0610,40.3590,73.0580,2.4030,4641.2080,,23148.5060,0.0600,2713.8682,0.3170,0.0210,2.6993,0.2050,0.2560,0.8070,3.4055
38890.0352,70,FANG,5/17/2017,WOLFCAMP B,7066.0000,1770.0000,53.0000,301.8010,301.8010,231.1380,231.1380,4871.1430,423.6800,15948.2390,0.0630,2839.7330,0.6050,0.0240,2.5045,0.1880,0.2450,0.8070,4.2997
61980.9961,71,FANG,12/31/2015,WOLFCAMP A,7471.0000,,,810.5310,307.5520,221.7470,7.0270,4638.8050,,21973.0170,0.0570,2788.3356,0.3190,0.0210,2.6628,0.2030,0.2660,0.8050,3.4982
20750.2109,72,FANG,4/28/2017,WOLFCAMP B,7666.0000,1709.0000,51.0000,401.7170,401.7170,207.6410,207.6410,4849.9590,433.6740,15886.8525,0.0600,2778.7243,0.5850,0.0240,2.5017,0.1850,0.2510,0.8070,4.4981
181170.0000,73,SURGE,11/14/2018,WOLFCAMP A,9661.0000,2096.0000,40.0000,1429.7650,1043.9470,12.6130,19.1580,4934.3920,,16374.7870,0.0510,2562.1208,0.3610,0.0210,2.5073,0.2000,0.2400,0.8190,5.4137
165509.0000,74,COP,2/14/2018,WOLFCAMP A,10481.0000,,51.0000,1154.8270,1154.8270,66.7630,66.7630,6741.1760,,22161.6540,0.0490,4331.4546,0.3580,0.0110,2.3758,0.1890,0.3150,0.9660,6.4241
262082.0000,75,COP,2/14/2018,SPRABERRY LOWER SHALE,10446.0000,,55.0000,1007.2240,657.7310,75.0870,55.6020,6192.2280,,28998.3310,0.0550,2472.7205,0.3840,0.0110,2.7539,0.2310,0.1260,0.9660,6.6195
118874.0000,76,LARIO,12/26/2019,WOLFCAMP A,9815.0000,,47.0000,651.5220,651.5220,34.1920,34.1920,6381.3920,,,0.0730,,,0.0170,,0.2770,0.1750,0.7220,5.5899
