CumOil12Month,rowID,Operator,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT
325341.6875,1,OVV,WOLFCAMP B,9925,2061,49
240883.1875,5,OVV,WOLFCAMP B,10403,2007,49
151234.765625,6,OVV,SPRABERRY LOWER,10404,2013,48
155705.328125,7,OVV,SPRABERRY LOWER,10424,2068,48
244439.71875,8,OVV,WOLFCAMP A,10421,2099,51
397864.96875,9,OVV,WOLFCAMP B,10405,2075,50
161121.40625,38,PXD,WOLFCAMP B,9908,1813,55
178910.0625,40,PXD,WOLFCAMP B,9907,1739,52
317803.9375,44,SURGE,WOLFCAMP A,10022,1886,36
204243.796875,45,SURGE,WOLFCAMP A,10022,1880,36
190330,46,SURGE,SPRABERRY LOWER,9936,2113,44
295566.15625,54,COP,WOLFCAMP B,10373,1860,40
107950,58,OXY,WOLFCAMP B,10021,1168,51
182509.015625,59,OXY,WOLFCAMP A,9955,1667,57
104092.5546875,61,ENDVR,WOLFCAMP B,10216,1598,39
183989.4375,62,ENDVR,WOLFCAMP A,10195,1594,39
165509,74,COP,WOLFCAMP A,10481,1830,51
262082,75,COP,SPRABERRY LOWER,10446,1872,55
199524,88,PXD,WOLFCAMP B,10479,1847,57
85800,97,PXD,SPRABERRY LOWER,10241,1908,38
101571,98,PXD,SPRABERRY LOWER,10112,1477,4
207898,108,PXD,WOLFCAMP B,9980,2131,44
279760.0625,113,SUMMIT,WOLFCAMP B,10052,1932,51
230401.03125,114,SUMMIT,WOLFCAMP B,10052,1896,49
89060.28125,115,SUMMIT,WOLFCAMP B,10052,1860.5,46
56308.90234375,116,SUMMIT,SPRABERRY LOWER,10052,1837,45
52212.1875,117,SUMMIT,SPRABERRY LOWER,10052,1837,45
59503.48828125,118,SUMMIT,SPRABERRY LOWER,10052,1837,45
110470.0078125,124,LPI,WOLFCAMP A,10362,1821,33
104725.9921875,125,LPI,WOLFCAMP A,10523,1776,33
79243.09375,126,LPI,WOLFCAMP D,10743,1861,65
113442.5703125,127,LPI,WOLFCAMP A,10523,1769,31
85966,128,LPI,WOLFCAMP A,10040,1834,33
150153,131,LPI,WOLFCAMP A,12638,2179,56
113109,132,LPI,WOLFCAMP B,13200,1770,58
154311,133,LPI,WOLFCAMP A,13450,1828,57
171153.25,134,LPI,WOLFCAMP B,10258,1797,57
51081.5390625,137,LPI,WOLFCAMP B,10226,1811,55
64088,139,LPI,WOLFCAMP B,10148,1795,55
120340,140,LPI,WOLFCAMP A,10030,2415,71
113496,142,LPI,WOLFCAMP B,10030,1819,57
155150.484375,156,TRACKER,WOLFCAMP B,10279,2608,60
115165.7734375,157,TRACKER,WOLFCAMP A,10347,2733,56
91072.2265625,158,TRACKER,WOLFCAMP B,10413,2607,61
115391.5234375,159,TRACKER,WOLFCAMP B,10107,2499,54
88244.1953125,160,TRACKER,WOLFCAMP B,10124,2719,65
83319.8046875,161,TRACKER,WOLFCAMP B,10114,2493,53
96108.4765625,162,TRACKER,WOLFCAMP B,10096,2751,60
101212.734375,164,TRACKER,WOLFCAMP B,10187,2576,55
109858.765625,165,TRACKER,WOLFCAMP B,10177,2579,63
66584.0859375,166,TRACKER,WOLFCAMP B,10141,2609,57
