CumOil12Month,rowID,Operator,CompletionDate,DaysSinceStruck,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,PSI_PerSqf_Thick,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM
325341.6875,1,OVV,2017-09-30,1751,WOLFCAMP B,9925,2061,49,275.089,275.089,9.258,258.263,6818.863,0.105960222654122,439.838,22821.2075,0.056,4150.97278,0.426,0.011,3.11189259,0.169,0.257,0.943,5.55915927886963
211278.40625,2,OVV,2017-10-07,1744,SPRABERRY LOWER,9478,2042,48,300.346,300.346,3.12,231.585,6149.57,2.47629327464671,7250,30333.523,0.055,2927.76307,0.319,0.005,2.850628188,0.227,0.144,0.941,5.22825145721436
201117.609375,3,OVV,2017-10-07,1744,SPRABERRY LOWER,9295,2145,53,299.14,299.14,228.466,228.466,5917.984,3.25001475809288,7250,16238.109,0.047,2230.759101,0.445,0.006,1.97709983,0.173,0.177,0.944,5.21760225296021
297255.625,4,OVV,2017-08-11,1801,WOLFCAMP A,9894,1995,49,274.886,274.886,249.005,249.005,6560.6,2.52497730890884,8250,24069.54,0.048,3267.356095,0.311,0.003,2.505398443,0.166,0.338,0.941,5.35674142837524
240883.1875,5,OVV,2017-08-16,1796,WOLFCAMP B,10403,2007,49,291.223,291.223,219.828,219.828,6809.605,0.105549998874786,442.147,24158.275,0.057,4188.98157,0.386,0.009,3.065974199,0.162,0.28,0.941,5.69943571090698
151234.765625,6,OVV,2017-08-01,1811,SPRABERRY LOWER,10404,2013,48,302.387,302.387,221.286,221.286,6146.45,2.41441974407311,7250,29350.566,0.052,3002.791879,0.3,0.005,2.808482101,0.225,0.148,0.941,5.60671854019165
155705.328125,7,OVV,2017-10-09,1742,SPRABERRY LOWER,10424,2068,48,302.534,302.534,221.286,221.286,5925.164,3.26535241039348,7250,17631.425,0.049,2220.281026,0.557,0.005,1.989802059,0.233,0.117,0.941,5.64653539657593
244439.71875,8,OVV,2017-08-05,1807,WOLFCAMP A,10421,2099,51,261.164,261.164,219.828,219.828,6589.778,2.3580961572652,8250,22530.211,0.044,3498.585066,0.291,0.004,2.23530746,0.143,0.407,0.941,5.82187271118164
397864.96875,9,OVV,2017-07-20,1823,WOLFCAMP B,10405,2075,50,261.733,261.733,225.436,225.436,6815.214,0.106974768184926,446.423,24021.112,0.057,4173.161649,0.398,0.009,3.145815534,0.164,0.268,0.941,5.80280351638794
109156.7109375,10,OVV,2017-02-08,1985,WOLFCAMP A,7616,2026,51,16.306,16.306,5.379,255.394,6512.192,2.53839677107266,8250,15224.485,0.034,3250.082924,0.481,0.019,2.244518613,0.171,0.321,0.971,4.48258018493652
110990.3828125,11,OVV,2017-02-08,1985,WOLFCAMP B,7664,1962,51,454.421,454.421,12.294,12.294,6925.204,5.84084052351425e-02,239.391,8271.295,0.037,4098.571071,0.507,0.022,2.169097069,0.133,0.371,0.971,4.50318336486816
477447.59375,12,OVV,2017-02-08,1985,WOLFCAMP A,7732,1970,50,717.044230319149,574.877384574469,198.159905851064,213.280151063831,6460.013671875,2.38005315291063,8250,12304.38,0.047,3466.309141,0.593,0.019,2.26070348,0.2,0.209,0.971,4.49754190444946
116930.8984375,13,OVV,2017-02-16,1977,SPRABERRY LOWER,7703,1991,49,13.751,13.751,269.108,269.108,6222.666,2.47661576914161,7250,28108.395,0.055,2927.381829,0.408,0.022,2.677106932,0.231,0.155,0.972,4.56309652328491
76212.546875,14,OVV,2017-02-16,1977,WOLFCAMP B,7425,1618,52,223.902,223.902,184.076,184.076,6914.474,6.02651114511697e-02,244.94,8319.701,0.04,4064.374795,0.519,0.022,2.188812506,0.136,0.363,0.972,4.11342144012451
29439.916015625,15,OVV,2017-02-16,1977,WOLFCAMP C,7607,1532,52,224.872,224.872,184.076,184.076,7098.551,2.09474761493433,9450,5592.534,0.055,4511.283332,0.712,0.013,2.108009425,0.224,0.197,0.971,4.07648992538452
271021.78125,16,OVV,2017-02-10,1983,SPRABERRY LOWER,7126,1593,52,217.206,217.206,149.82,149.82,6072.846,2.52093424041258,7250,26598.354,0.054,2875.917937,0.417,0.022,2.490022446,0.242,0.131,0.971,3.85157179832458
136142.890625,17,OVV,2017-02-10,1983,SPRABERRY LOWER,7519,1517,48,12.574,12.574,63.519,213.339,6286.185,2.23636365685125,7250,18391.435,0.055,3241.869889,0.589,0.022,2.328740912,0.236,0.133,0.971,3.93229222297668
61698.3828125,18,OVV,2017-02-10,1983,WOLFCAMP A,7657,1494,48,12.707,12.707,5.379,5.379,6506.813,2.57756743672189,8250,15587.284,0.034,3200.692204,0.464,0.019,2.259477078,0.173,0.316,0.971,3.99800515174866
75152.40625,19,OVV,2017-02-10,1983,WOLFCAMP B,7645,1508,49,226.752,226.752,1.564,12.294,6912.91,6.00969569964464e-02,244.94,8507.969,0.04,4075.74713,0.509,0.022,2.217894939,0.135,0.363,0.971,4.06572103500366
86163.4453125,20,COP,2015-12-19,2402,WOLFCAMP B,5051,1475,48,829.711,10.754,385.812,33.265,6942.987,6.47019621502042e-02,243.29,7828.794,0.031,3760.164173,0.534,0.016,2.208064334,0.138,0.366,0.967,3.33468627929688
70092.7734375,21,COP,2015-12-19,2402,WOLFCAMP A,4796,1544,51,841.073,412.268,293.35,352.548,6557.174,2.47784317438975,8250,14639.909,0.03,3329.508536,0.394,0.013,1.943968317,0.143,0.416,0.967,3.23998618125916
92708.4140625,22,COP,2015-12-18,2403,DEAN,4998,1487,48,9.775,9.775,262.848,262.848,6294.326,2.43587698319688,8000,14962.577,0.057,3284.238102,0.662,0.11009,2.287475353,0.236,0.124,0.967,3.23098158836365
89813.7578125,23,OXY,2015-08-06,2537,WOLFCAMP A,7578,1352.5,33,717.044230319149,574.877384574469,198.159905851064,213.280151063831,5384.339,2.76910169547525,8250,10693.606,0.056,2979.305532,0.652,0.023,2.414691457,0.218,0.112,0.76,4.65675115585327
14081.1103515625,24,FANG,2007-07-12,5484,SPRABERRY LOWER,1961,215,6,2000,2000,500,500,4998.772,3.05392231953719,7250,8210.541,0.072,2373.996206,0.799,0.011009,2.497145022,0.195,0.099,0.794,1.26966822147369
185426,25,FANG,2017-08-26,1786,SPRABERRY MIDDLE,8822,1793,47,2000,2000,500,500,4366.184,4.09734765676351,6850,5127.984,0.053,1671.813225,0.794,0.011009,2.746477646,0.204,0.114,0.814,5.00795078277588
199137.984375,26,OXY,2015-06-29,2575,WOLFCAMP A,9375,1339,35,1304.961,1244.758,61.431,87.197,5596.397,2.90013845478933,8250,18088.921,0.06,2844.691772,0.309,0.017,2.976576836,0.216,0.173,0.775,5.40984153747559
351472.0625,27,OXY,2015-09-26,2486,WOLFCAMP A,9378,1339,37,1480.001,1393.72,58.936,30.674,5509.2,3.12656169032533,8250,16149.813,0.062,2638.681343,0.392,0.017,2.969920657,0.227,0.11,0.775,5.41842842102051
106633,28,OXY,2015-07-13,2561,WOLFCAMP A,9333,1358,38,2000,2000,500,500,5162.92,2.82249572556287,8250,16629.154,0.043,2922.945082,0.358,0.024,2.479691127,0.174,0.244,0.717,5.37218904495239
78002.0078125,29,SABLE,2013-05-21,3344,WOLFCAMP B,6662,753,22,1212.002,1007.499,500,274.476,4429.186,0.238632729099617,547.63,12564.209,0.07,2294.865428,0.725,0.011,2.858256809,0.209,0.237,0.911,3.48925018310547
59416.52734375,30,APA,2018-11-08,1347,WOLFCAMP A,7739,1669,46,456.577,456.577,500,274.36,5364.745,2.7632374640767,8250,31416.06,0.061,2985.62831,0.372,0.016,2.759698539,0.209,0.293,0.93,4.15259742736816
167176.46875,31,APA,2018-11-03,1352,WOLFCAMP B,7645,1656,47,450.182,728.558,500,274.36,5639.105,0.137699003028938,490.225,23700.955,0.071,3560.120184,0.588,0.015,2.913202069,0.193,0.253,0.929,4.15535831451416
117015.4453125,32,PXD,2015-04-18,2647,WOLFCAMP B,9746,998,18,710.293,768.93,500,49.349,5911.641,0.139177073719295,476.471,20905.809,0.067,3423.4877,0.584,0.012,2.959429264,0.195,0.264,0.938,4.66082811355591
78139.5078125,33,PXD,2015-10-15,2467,WOLFCAMP B,9422,1354,42,384.523,769.211,293.709,356.597,6317.587,0.107856893797059,476.481,9559.678,0.06,4417.714837,0.791,0.012,3.200393162,0.199,0.293,0.938,5.61637258529663
70433.8125,34,PXD,2015-04-19,2646,WOLFCAMP B,9746,972,17,744.443,564.186,38.745,28.141,5960.99,0.132055624825365,476.481,12983.634,0.066,3608.184056,0.734,0.012,2.777992261,0.186,0.289,0.938,4.62353467941284
102265.4609375,35,PXD,2015-10-27,2455,WOLFCAMP B,9786,1490,40,718.435,731.486,14.267,0.394,5932.849,0.13503493549336,476.481,14483.266,0.061,3528.575759,0.684,0.015,2.822321022,0.182,0.291,0.938,5.89213228225708
193705.1875,36,PXD,2015-10-28,2454,WOLFCAMP B,9722,1501,41,844.93,781.457,500,239.298,5932.455,0.136300694721108,478.169,13337.598,0.06,3508.19195,0.703,0.015,2.729788278,0.183,0.293,0.938,5.89958190917969
233913.359375,37,PXD,2017-08-01,1811,WOLFCAMP B,9758,1827,55,889.197,889.197,9.104,9.104,6066.718,0.127204401201763,487.038,16794.379,0.062,3828.782616,0.666,0.008,2.612473674,0.197,0.289,0.932,6.73611354827881
161121.40625,38,PXD,2017-07-29,1814,WOLFCAMP B,9908,1813,55,772.941,772.941,9.104,9.104,6075.822,0.119714647639086,487.038,17321.643,0.059,4068.324216,0.63,0.01,2.673144966,0.193,0.29,0.932,6.79952812194824
170829.90625,39,PXD,2017-08-07,1805,WOLFCAMP B,9834,1829,56,773.004,773.004,9.108,9.108,6066.715,0.12094835694471,487.978,17940.099,0.058,4034.598008,0.611,0.01,2.567558655,0.189,0.302,0.932,6.78920936584473
178910.0625,40,PXD,2017-08-18,1794,WOLFCAMP B,9907,1739,52,727.726,727.726,26.7,26.7,6012.77,0.136366064820452,487.978,12679.955,0.062,3578.441606,0.744,0.011,2.47140976,0.193,0.295,0.932,6.62630558013916
159369.765625,41,PXD,2017-08-29,1783,WOLFCAMP B,8072,1708,59,727.834,727.834,26.7,26.7,6039.469,0.122229304663829,487.978,17465.976,0.059,3992.315929,0.631,0.011,2.569814166,0.19,0.295,0.932,5.6420955657959
129814.375,42,ENDVR,2018-02-19,1609,WOLFCAMP B,9780,1616,44,177.615,177.615,336.592,336.592,6031.277,0.140001589243707,470.934,18149.334,0.063,3363.776101,0.636,0.018,2.840891109,0.176,0.291,0.94,5.59980010986328
90905.625,43,ENDVR,2018-02-19,1609,WOLFCAMP B,9586,1596,43,176.865,176.865,56.497,56.497,6367.869,0.119920837793424,470.934,16568.501,0.067,3927.04061,0.673,0.018,4.913654827,0.206,0.248,0.94,5.53265237808228
317803.9375,44,SURGE,2016-10-14,2102,WOLFCAMP A,10022,1886,36,2000,230.26,25.384,500,5406.984,3.19603019857111,8250,23225.076,0.063,2581.327299,0.296,0.016,2.925896467,0.229,0.117,0.83,5.30593490600586
204243.796875,45,SURGE,2016-11-04,2081,WOLFCAMP A,10022,1880,36,2000,1191.956,197.189,500,5392.492,2.90115236697785,8250,21620.419,0.051,2843.697592,0.204,0.015,2.477246523,0.205,0.218,0.829,5.29350471496582
190330,46,SURGE,2017-04-07,1927,SPRABERRY LOWER,9936,2113,44,2000,1009.849,4.793,500,4953.776,2.96771589178634,7250,22750.38,0.057,2442.956221,0.452,0.014,2.155047059,0.239,0.112,0.829,5.61226320266724
103800.671875,47,COP,2014-08-21,2887,WOLFCAMP A,5041,2494,56,2000,2000,500,500,6225.96,2.05936627006946,8250,30637.068,0.051,4006.086785,0.267,0.022,2.211876471,0.166,0.363,0.905,3.90595126152039
46459.1328125,48,COP,2012-07-21,3648,WOLFCAMP B,2103,1839,38,2000,2000,500,500,6462.173,0.103672198117769,440.899,14816.076,0.043,4252.818094,0.633,0.023,2.165364649,0.135,0.4,0.907,2.03761792182922
73832,49,COP,2015-05-25,2610,WOLFCAMP C,5010,1677,38,2000,2000,500,500,6761.596,2.24650281931718,9450,13119.6245,0.048,4206.538233,0.68,0.013,2.216362615,0.166,0.332,0.908,3.31723570823669
68317.234375,50,COP,2015-07-22,2552,WOLFCAMP B,5030,2228,60,651.188,861.99,18.782,6.301,6479.929,9.8817557829952e-02,426.457,14860.139,0.04,4315.599468,0.557,0.02,2.111522117,0.137,0.397,0.91,3.80764889717102
72743,51,COP,2014-11-16,2800,WOLFCAMP B,5058,1720,41,2000,1032.113,48.818,500,6535.048,0.107592150426461,423.507,10729.658,0.037,3936.225815,0.651,0.017,1.841770952,0.127,0.447,0.909,3.35724544525146
90315,52,COP,2015-07-22,2552,WOLFCAMP B,5000,2241,62,1030.032,840.439,27.56,48.818,6486.23,0.104266439172464,423.507,15846.271,0.044,4061.776765,0.538,0.02,2.081121369,0.137,0.404,0.909,3.81927609443665
62189.71875,53,COP,2015-03-23,2673,WOLFCAMP B,5033,1640,43,2000,2000,500,500,6593.131,9.36331128924856e-02,409.366,9543.095,0.035,4372.021685,0.526,0.023,1.527706469,0.129,0.444,0.9,3.32629156112671
295566.15625,54,COP,2019-07-12,1101,WOLFCAMP B,10373,1860,40,651.699,651.699,0.232,0.232,6692.803,9.72062976848523e-02,428.386,19848.309,0.054,4406.977842,0.486,0.004,3.081562685,0.176,0.264,0.911,5.84335279464722
84097,55,OXY,2017-01-01,2023,WOLFCAMP A,9152,1961,64,2000,862.79,286.875,500,5733.396,2.19349528216002,8250,30646.091,0.057,3761.120467,0.323,0.012,2.450970972,0.188,0.347,0.939,6.64811992645264
166260,56,OXY,2017-01-03,2021,WOLFCAMP B,9301,1752,68,2000,840.488,242.016,500,6262.287,0.126712217726155,479.009,14394.914,0.063,3780.290556,0.728,0.013,4.730567762,0.197,0.268,0.939,6.63065481185913
145873,57,OXY,2017-09-09,1772,WOLFCAMP A,9551,1644,56,888.606,516.583,81.845,85.31,5655.016,2.34629418610356,8250,33589.207,0.061,3516.183115,0.309,0.012,2.54374979,0.192,0.31,0.939,6.2853684425354
107950,58,OXY,2017-09-07,1774,WOLFCAMP B,10021,1168,51,144.519,492.597,326.065,365.254,6020.27,0.152721277251445,476.804,24373.067,0.074,3122.053512,0.606,0.013,2.722807937,0.187,0.257,0.939,5.81422328948975
182509.015625,59,OXY,2017-09-08,1773,WOLFCAMP A,9955,1667,57,728.177,728.177,85.31,85.31,5740.326,2.16737115945302,8250,26084.713,0.053,3806.454637,0.374,0.014,2.357598667,0.185,0.364,0.938,6.5503454208374
