CumOil12Month,rowID,Operator,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT
109156.7109375,10,OVV,WOLFCAMP A,7616,2026,51
110990.3828125,11,OVV,WOLFCAMP B,7664,1962,51
477447.59375,12,OVV,WOLFCAMP A,7732,1970,50
116930.8984375,13,OVV,SPRABERRY LOWER,7703,1991,49
76212.546875,14,OVV,WOLFCAMP B,7425,1618,52
29439.916015625,15,OVV,WOLFCAMP C,7607,1532,52
271021.78125,16,OVV,SPRABERRY LOWER,7126,1593,52
136142.890625,17,OVV,SPRABERRY LOWER,7519,1517,48
61698.3828125,18,OVV,WOLFCAMP A,7657,1494,48
75152.40625,19,OVV,WOLFCAMP B,7645,1508,49
86163.4453125,20,COP,WOLFCAMP B,5051,1475,48
70092.7734375,21,COP,WOLFCAMP A,4796,1544,51
92708.4140625,22,COP,DEAN,4998,1487,48
89813.7578125,23,OXY,WOLFCAMP A,7578,1352.5,33
14081.1103515625,24,FANG,SPRABERRY LOWER,1961,215,6
78002.0078125,29,SABLE,WOLFCAMP B,6662,753,22
59416.52734375,30,APA,WOLFCAMP A,7739,1669,46
167176.46875,31,APA,WOLFCAMP B,7645,1656,47
103800.671875,47,COP,WOLFCAMP A,5041,2494,56
46459.1328125,48,COP,WOLFCAMP B,2103,1839,38
73832,49,COP,WOLFCAMP C,5010,1677,38
68317.234375,50,COP,WOLFCAMP B,5030,2228,60
72743,51,COP,WOLFCAMP B,5058,1720,41
90315,52,COP,WOLFCAMP B,5000,2241,62
62189.71875,53,COP,WOLFCAMP B,5033,1640,43
102194.484375,64,FANG,WOLFCAMP A,7727,1590,39
22599.517578125,65,FANG,WOLFCAMP B,4524,142,6
87617,66,FANG,WOLFCAMP A,7673,1643,42
109771,67,FANG,WOLFCAMP A,7724,1673,43
111107,68,FANG,WOLFCAMP A,7563,1619,42
107213,69,FANG,WOLFCAMP A,7239,1590,39
38890.03515625,70,FANG,WOLFCAMP B,7066,1770,53
61980.99609375,71,FANG,WOLFCAMP A,7471,1590,39
20750.2109375,72,FANG,WOLFCAMP B,7666,1709,51
150094,78,CVX,WOLFCAMP B,7762,2000,46
155024,79,CVX,WOLFCAMP B,7921,2019,46
113096,80,CVX,WOLFCAMP B,7722,2015,46
137568,81,CVX,WOLFCAMP B,7522,2110,48
93950,82,CVX,WOLFCAMP B,7522,2022,46
130387,83,CVX,SPRABERRY LOWER,7894,1542,39
219197,87,PXD,WOLFCAMP A,7667,1764,45
154696.1875,89,PXD,WOLFCAMP B,4563,1769,41
110463.8125,90,PXD,WOLFCAMP B,5126,1514,45
96656.8125,91,PXD,WOLFCAMP B,5129,1628,41
89733.375,92,PXD,WOLFCAMP B,5125,1733,44
87081.359375,93,PXD,WOLFCAMP A,4614,1595,41
121020,94,PXD,WOLFCAMP B,7787,1779,45
138807,95,PXD,WOLFCAMP B,7792,1755,44
126832.9921875,96,PXD,WOLFCAMP B,4529,1727,38
96275.9921875,99,PXD,WOLFCAMP A,4518,1892,45
137845.015625,100,PXD,WOLFCAMP B,4699,1856,46
100907,101,PXD,WOLFCAMP B,4696,1679,48
125745,103,HIBERNIA,WOLFCAMP B,7726,1913,47
9717,104,CVX,WOLFCAMP A,632,1380.5,34
9717,105,CVX,WOLFCAMP A,1379,1380.5,34
29081.96484375,106,FIREBIRD,WOLFCAMP A,3748,203,23
99303.0078125,110,ELEMENT,WOLFCAMP A,7032,1964,51
70067,119,SUMMIT,SPRABERRY LOWER,7322,1808,34
104101.0078125,120,SUMMIT,WOLFCAMP B,7142,1734,45
168524.578125,122,ENDVR,SPRABERRY MIDDLE,7184,1607,39
212107.421875,123,ENDVR,WOLFCAMP A,7078,1596,40
150922,129,LPI,WOLFCAMP A,7688,1803,59
113174,130,LPI,WOLFCAMP A,7503,1799,57
62290.4609375,138,LPI,WOLFCAMP A,6578,1860,57
7312.80126953125,145,LPI,WOLFCAMP C,7727,1113,28
68233,147,LPI,WOLFCAMP A,7101,812,33
89713,148,LPI,WOLFCAMP A,7465,1147,39
83353,149,LPI,WOLFCAMP A,7743,1783.5,29
23938.884765625,150,LPI,WOLFCAMP A,6661,1783.5,16
126357.48,151,CPE,WOLFCAMP A,7480,2202,63
130412.59,152,CPE,WOLFCAMP A,7480,1807,56
85232.2799999999,153,CPE,WOLFCAMP A,7728,1924,49
109624.35,154,CPE,WOLFCAMP A,7762,2016,50
77023,155,OXY,WOLFCAMP A,6774,1741,43
89716,167,BLACK SWAN,WOLFCAMP A,7797,1970,63
64830.71484375,168,SURGE,WOLFCAMP A,7075,1887,36
36561.7109375,169,SURGE,WOLFCAMP B,7021,2079,37
195185,177,PXD,WOLFCAMP B,4852,3488,88
141600,179,PXD,WOLFCAMP B,7419,1821,43
76184.1875,180,PXD,WOLFCAMP B,7729,1898,48
44962.80859375,181,PXD,WOLFCAMP B,7733,1887,49
88275.7578125,182,PXD,WOLFCAMP B,7747,1898,45
106367.2421875,183,PXD,WOLFCAMP B,7753,1904,43
124606,184,PXD,WOLFCAMP B,7419,1821,43
125488.078125,187,PXD,WOLFCAMP B,7763,1900,45
38294.91796875,188,PXD,WOLFCAMP B,7760,1912,44
105771.4921875,189,PXD,WOLFCAMP B,7767,1726,34
45774.11328125,190,PXD,WOLFCAMP B,7771,1679,42
165031,191,PXD,WOLFCAMP B,7682,2162,54
174996,192,PXD,WOLFCAMP B,7682,2154,54
205114,193,PXD,WOLFCAMP B,7282,2150,55
100703,194,LARIO,WOLFCAMP B,7499,2364,50
6780,195,FANG,WOLFCAMP A,4487,2080,99
224128,202,ESTE,WOLFCAMP B,7453,2699,47
4491,203,CHOLLA,WOLFCAMP D,4160,910,36
29286.669921875,207,APA,WOLFCAMP A,4682,994,28
41538.45703125,208,APA,WOLFCAMP B,4427,931,28
4431,232,CHOLLA,SPRABERRY LOWER,7788,1396,38
63178.02734375,264,LPI,WOLFCAMP A,3937,1783.5,43
61060.140625,265,LPI,WOLFCAMP A,7007,1079,33
116283.8125,266,LPI,WOLFCAMP B,6958,1107,33
28571.875,267,LPI,WOLFCAMP C,7248,1453,61
85594.40625,268,LPI,WOLFCAMP B,7242,1574,56
45620.44,269,CPE,WOLFCAMP B,4660,1473,38
88229.8099999999,270,CPE,WOLFCAMP B,4966,1433,42
92017.6300000001,271,CPE,WOLFCAMP B,4849,1528,44
87223.3699999999,272,CPE,WOLFCAMP B,4886,1534,45
102821,273,CPE,SPRABERRY LOWER,4928,1726,52
64261.8100000001,274,CPE,SPRABERRY LOWER,4932,1754,53
152821.015625,275,ESTE,WOLFCAMP B,4929,1981,50
118996,276,ESTE,WOLFCAMP B,5299,2268,53
140235.78125,277,ESTE,WOLFCAMP B,6265,2271,57
152945.765625,278,ESTE,WOLFCAMP A,6195,2185,51
178551.234375,279,ESTE,SPRABERRY LOWER,6015,2308,53
134339,280,ESTE,WOLFCAMP B,7066,1765,33
155110.015625,281,ESTE,WOLFCAMP B,6819,2237,54
114416.875,282,ESTE,WOLFCAMP B,7690,2071,53
112799.921875,283,ESTE,WOLFCAMP B,7752,2327,54
88033,284,ESTE,WOLFCAMP B,7694,1733,52
77389.203125,285,ESTE,WOLFCAMP B,7585,2407,56
34968,286,ESTE,WOLFCAMP B,5264,1712,30
38732.296875,287,ESTE,WOLFCAMP A,5244,1756,31
35316.70703125,288,ESTE,WOLFCAMP B,5380,1783,31
0,299,APA,WOLFCAMP D,3690,437,20
90887,301,HUNT,WOLFCAMP B,7515,1199,34
119152.4296875,302,HUNT,WOLFCAMP A,7220,1588,40
139126.71875,303,HUNT,WOLFCAMP B,7410,1593,43
76571,304,HUNT,WOLFCAMP B,7228,980,25
113463.3359375,305,HUNT,SPRABERRY LOWER,7310,1595,35
41629.6328125,306,HUNT,WOLFCAMP A,7562,1551,37
79361.75,307,HUNT,WOLFCAMP B,7562,1542,38
133739.203125,308,HUNT,WOLFCAMP B,7410,1593,42
98276.484375,309,HUNT,SPRABERRY LOWER,7310,1587,36
71088.453125,310,HUNT,WOLFCAMP A,7562,1564,38
63162.265625,311,HUNT,WOLFCAMP B,7562,1534,41
48492.5546875,312,HUNT,WOLFCAMP B,7410,1555,38
85927.7265625,313,HUNT,SPRABERRY LOWER,7518,1542,42
108639.5390625,314,HUNT,WOLFCAMP A,7562,1551,38
54943.40625,315,HUNT,WOLFCAMP B,7562,1501,37
131100,316,HUNT,WOLFCAMP B,7057,1458,41
110658.1875,317,HUNT,SPRABERRY LOWER,7518,1403,37
84578.015625,318,HUNT,WOLFCAMP A,7562,1551,37
59711.2421875,319,HUNT,WOLFCAMP B,7562,1535,38
62102.3828125,320,HUNT,SPRABERRY LOWER,7518,1406,37
138254.671875,321,HUNT,WOLFCAMP A,7220,1581,37
110228.765625,322,HUNT,WOLFCAMP B,6422,1595,39
88501.2578125,323,HUNT,SPRABERRY LOWER,7220,1630,47
90102.2890625,324,HUNT,WOLFCAMP B,7546,1239,31
113024.546875,325,HUNT,SPRABERRY LOWER,7220,1626,48
109982.8046875,326,HUNT,WOLFCAMP A,7517,1247,30
97506.34375,327,HUNT,SPRABERRY LOWER,7220,1331,48
137589.375,329,CRWNQST,SPRABERRY LOWER,7542,1842,43
142792.625,330,CRWNQST,SPRABERRY LOWER,7542,1842,43
113267,331,CRWNQST,SPRABERRY LOWER,7542,1841,43
80845.890625,340,MURCHISON,WOLFCAMP A,4785,1996,68
86848.0625,341,MURCHISON,WOLFCAMP B,4790,2007,65
82843.6015625,342,MURCHISON,WOLFCAMP B,5059,2022,63
109619.09375,343,MURCHISON,WOLFCAMP A,5049,1990,66
67557.3046875,344,MURCHISON,SPRABERRY LOWER,4969,2036,58
122578.25,345,XOM,WOLFCAMP B,7653,1274,41
111251.578125,346,XOM,WOLFCAMP B,7704,1107,36
102126.1640625,347,XOM,WOLFCAMP B,7603,1104,37
84641.3828125,348,XOM,WOLFCAMP B,7654,1412,53
115175.921875,349,XOM,WOLFCAMP A,7654,1681,65
87141.6875,350,XOM,WOLFCAMP A,7653,1638,66
75124.7265625,351,XOM,WOLFCAMP A,7654,1412,54
137423.765625,352,XOM,WOLFCAMP A,7654,1382,53
153800,353,XOM,WOLFCAMP B,7634,1088,38
126682,354,XOM,WOLFCAMP A,7653,1703,24
37267.80859375,359,FANG,WOLFCAMP A,5925,1258,31
64382.1875,360,FANG,WOLFCAMP B,5928,1233,32
38291.609375,361,FANG,WOLFCAMP A,6227,1265,25
24836.390625,362,FANG,WOLFCAMP B,5927,1259,28
41943,363,FANG,WOLFCAMP B,6227,1227,33
97324.1171875,364,FANG,WOLFCAMP A,5927,1270,28
97889.4765625,365,FANG,WOLFCAMP B,6228,1245,30
68273.453125,366,FANG,WOLFCAMP C,5929,1209,38
42933.88671875,367,FANG,WOLFCAMP A,5867,1285,32
37098.11328125,368,FANG,WOLFCAMP B,6068,1232,33
53685.56640625,369,FANG,WOLFCAMP A,5932,1720,30
26261.435546875,370,FANG,WOLFCAMP B,6222,1171,32
56033.36328125,371,FANG,WOLFCAMP A,6148,1280,32
31674.638671875,372,FANG,WOLFCAMP B,6144,1693,43
59413,373,FANG,WOLFCAMP A,5926,1691,42
207149.546875,374,CVX,WOLFCAMP B,7642,3075,75
140769.875,375,CVX,WOLFCAMP A,7641,3079,75
129803.59375,376,CVX,WOLFCAMP B,7641,2973,76
112774.6875,377,CVX,WOLFCAMP A,7641,3076,75
150635.921875,378,CVX,WOLFCAMP B,7627,2988,76
120137.140625,379,CVX,WOLFCAMP A,7642,3076,76
142923.0625,395,CVX,WOLFCAMP B,7660,3692,65
58044.83203125,397,SM,WOLFCAMP B,4944,1845,45
121261,398,SM,SPRABERRY LOWER,7711,1848,56
107133,399,SM,WOLFCAMP A,7702,1848,60
140820,400,SM,DEAN,7701,1850,57
125361,401,SM,SPRABERRY LOWER,7383,1868,60
100062.9921875,402,SM,SPRABERRY MIDDLE,7370,1850,57
75806.0078125,403,SM,WOLFCAMP A,7220,1893,68
125887,404,SM,WOLFCAMP A,7385,1852,60
94489.859375,405,SM,WOLFCAMP B,4960,1482,44
80312.953125,406,SM,WOLFCAMP B,4952,1869,58
157145,436,PXD,WOLFCAMP C,7472,2689,72
153509,437,PXD,WOLFCAMP B,7182,2937,45
121803,438,PXD,WOLFCAMP B,7062,2967,47
101640,439,PXD,WOLFCAMP B,7182,2829,45
160335,440,PXD,WOLFCAMP B,7172,2729,70
158286.984375,448,PXD,WOLFCAMP C,7521,1363,40
173601,454,PXD,WOLFCAMP B,7325,1737,54
156633,455,PXD,WOLFCAMP B,7325,1740,54
182166,456,PXD,WOLFCAMP B,7325,1729,53
150981,457,PXD,WOLFCAMP C,7422,2534,46
191314.890625,476,DBLPOINT,WOLFCAMP A,7754,1980,47
87554.0078125,477,LPI,WOLFCAMP A,7012,2194,55
13129.9990234375,479,FANG,WOLFCAMP D,7759,1082,51
197575.9375,480,PXD,SPRABERRY LOWER,7183,1746,38
96320.3203125,481,PXD,WOLFCAMP A,7082,1784,39
181937.65625,484,OVV,WOLFCAMP B,6261,1492,39
87416.34375,485,OVV,SPRABERRY LOWER,6275,1499,40
67683,486,OVV,SPRABERRY LOWER,6315,1509,48
99380.078125,487,OVV,WOLFCAMP A,7052,1495,39
102762.53125,488,OVV,WOLFCAMP B,6358,1455,39
97120,497,OVV,WOLFCAMP B,7683,1156,42
119479.9921875,498,OVV,WOLFCAMP A,7290,1189,27
68258.6875,499,OVV,WOLFCAMP B,7713,930,32
100532,500,OVV,WOLFCAMP A,6924,1300,16
107139.2578125,501,FANG,SPRABERRY LOWER,7677,1595,36
175946.671875,502,FANG,WOLFCAMP A,7658,1590,36
500236,503,FANG,SPRABERRY LOWER,7670,1713,38
153467,504,FANG,WOLFCAMP B,7684,1631,39
24919.982421875,505,FANG,SPRABERRY LOWER,7612,2969,75
35397.22265625,506,FANG,WOLFCAMP A,7652,1590,35
81057.0625,514,COP,WOLFCAMP B,7628,1244,37
83184.9453125,516,COP,WOLFCAMP B,7630,1852,37
69070.9140625,520,COP,WOLFCAMP B,7628,1839,36
78054.625,522,COP,WOLFCAMP B,7628,1785,41
130037.609375,525,COP,WOLFCAMP B,7485,1860,43
67463.03125,560,HUNT,SPRABERRY LOWER,7648,1546,50
127658.5078125,561,HUNT,WOLFCAMP A,7616,1555,46
96411.4140625,562,HUNT,SPRABERRY LOWER,7648,1544,50
184244,563,APA,WOLFCAMP B,7617,1673,54
101974.8984375,564,FANG,WOLFCAMP A,6644,1414,41
128897.8515625,565,FANG,SPRABERRY LOWER,6627,1386,40
2383.00024414063,583,RELENTLESS,SPRABERRY LOWER,343,905,23
193509,587,PXD,WOLFCAMP B,7662,1726,53
176529,588,PXD,WOLFCAMP B,7662,2379,53
173946.015625,589,PXD,WOLFCAMP B,7662,2379,54
83887.2499999999,590,CPE,SPRABERRY LOWER,4134,1951,67
92254.87,591,CPE,SPRABERRY LOWER,4932,1399,44
64039.6,592,CPE,SPRABERRY MIDDLE,4932,1348,43
103519.4,593,CPE,SPRABERRY LOWER,4932,1371,44
79952.12,594,CPE,SPRABERRY LOWER,4304,1859,60
88095.0000000001,595,CPE,SPRABERRY LOWER,4562,1968,63
105706.32,596,CPE,SPRABERRY LOWER,4294,2033,59
87199.45,597,CPE,SPRABERRY LOWER,4564,2024,59
70265.28,598,CPE,SPRABERRY LOWER,4304,2019,65
92815.41,599,CPE,WOLFCAMP B,4407,1840,72
69150.6,600,CPE,WOLFCAMP A,4426,2095,63
98112.25,601,CPE,WOLFCAMP B,4403,2024,68
90567.2799999999,602,CPE,SPRABERRY LOWER,4434,1669,48
100665.66,603,CPE,SPRABERRY LOWER,4182,1692,48
95415.8299999998,604,CPE,SPRABERRY LOWER,4183,1703,51
121075.14,605,CPE,SPRABERRY LOWER,4362,2007,60
69306.83,606,CPE,SPRABERRY LOWER,4404,1742,56
128853.11,607,CPE,SPRABERRY LOWER,4338,1965,64
75869.46,608,CPE,SPRABERRY LOWER,3907,1456,53
80277.2299999999,609,CPE,SPRABERRY LOWER,4157,1809,53
90231.81,610,CPE,SPRABERRY LOWER,4099,2095,59
63414.48,611,CPE,SPRABERRY LOWER,4000,1915,53
94337.9699999999,612,CPE,SPRABERRY LOWER,4585,1996,52
67797.5,613,CPE,SPRABERRY LOWER,4109,1851,53
87160.81,614,CPE,SPRABERRY LOWER,4127,2114,61
68172.91,615,CPE,SPRABERRY LOWER,4346,1843,57
72087.62,616,CPE,SPRABERRY LOWER,4285,2077,56
78629.87,617,CPE,WOLFCAMP B,4432,2037,59
89443,618,CPE,SPRABERRY LOWER,4182,1711,49
84158.5,619,CPE,WOLFCAMP A,4187,2533,69
95313.7599999999,620,CPE,SPRABERRY LOWER,4434,1726,50
82643.8799999999,621,CPE,SPRABERRY LOWER,4398,1337,38
59549.86,622,CPE,SPRABERRY LOWER,4482,1983,59
88514.81,623,CPE,SPRABERRY LOWER,4473,1951,49
122026.58,624,CPE,SPRABERRY LOWER,4473,1808,49
83405.44,625,CPE,SPRABERRY LOWER,4623,1909,50
86308.52,626,CPE,SPRABERRY LOWER,4556,1951,57
114757.32,627,CPE,SPRABERRY LOWER,4671,1463,46
108015.56,628,CPE,SPRABERRY LOWER,4907,1516,48
105844.62,629,CPE,SPRABERRY LOWER,4675,1408,45
123821.96,630,CPE,SPRABERRY LOWER,5019,1923,73
79166.1399999999,631,CPE,WOLFCAMP B,4656,1475,39
119128.85,632,CPE,SPRABERRY LOWER,5055,1909,75
96649.03,633,CPE,WOLFCAMP A,4981,1906,64
51103,634,SURGE,WOLFCAMP A,7314,1476,34
105830,635,OVV,WOLFCAMP A,6939,2035,37
82528.9921875,637,LARIO,WOLFCAMP A,5092,1339,30
91083.8203125,639,APA,WOLFCAMP B,4745,1617,50
102538.03125,640,APA,WOLFCAMP B,4748,1628,50
92873.703125,641,APA,WOLFCAMP B,4748,1627,50
91399.640625,642,APA,WOLFCAMP B,4742,1628,51
103115.65625,643,APA,WOLFCAMP B,5066,1642,51
87361.96875,644,APA,WOLFCAMP B,5078,1639,51
